filename,source_A,source_B,top_label,top_class,overlap_pixels,overlap_ratio
img_001384.png,single_013114.png,single_002050.png,A_ON_TOP,0,5617,0.285417
img_001882.png,single_003412.png,single_003467.png,A_ON_TOP,0,3842,0.326146
img_004902.png,single_013256.png,single_004809.png,A_ON_TOP,0,13683,0.532558
img_001525.png,single_015442.png,single_008137.png,B_ON_TOP,1,5331,0.350701
img_004655.png,single_010818.png,single_015526.png,A_ON_TOP,0,2721,0.170939
img_000961.png,single_011781.png,single_014769.png,B_ON_TOP,1,13315,0.466767
img_000432.png,single_012373.png,single_014309.png,A_ON_TOP,0,10568,0.339763
img_000377.png,single_000157.png,single_005629.png,A_ON_TOP,0,9967,0.544199
img_000298.png,single_009444.png,single_015535.png,A_ON_TOP,0,5671,0.258501
img_000717.png,single_004814.png,single_015634.png,B_ON_TOP,1,3184,0.246611
img_003988.png,single_009581.png,single_011058.png,B_ON_TOP,1,4828,0.279754
img_001335.png,single_001924.png,single_001955.png,A_ON_TOP,0,3020,0.15672
img_001174.png,single_011020.png,single_012842.png,A_ON_TOP,0,13701,0.349097
img_001860.png,single_015527.png,single_012236.png,B_ON_TOP,1,2029,0.245552
img_004176.png,single_003268.png,single_010974.png,B_ON_TOP,1,3069,0.21314
img_004183.png,single_008479.png,single_011058.png,B_ON_TOP,1,4378,0.291362
img_001251.png,single_009781.png,single_007893.png,A_ON_TOP,0,3250,0.21566
img_003162.png,single_009625.png,single_013884.png,B_ON_TOP,1,3659,0.309351
img_001779.png,single_003763.png,single_013642.png,B_ON_TOP,1,2145,0.199331
img_004857.png,single_006778.png,single_013702.png,B_ON_TOP,1,8414,0.387545
img_002230.png,single_012544.png,single_012740.png,A_ON_TOP,0,5397,0.22147
img_004889.png,single_002157.png,single_004472.png,A_ON_TOP,0,13403,0.441833
img_000166.png,single_011394.png,single_003156.png,B_ON_TOP,1,5363,0.245761
img_002981.png,single_002830.png,single_005640.png,B_ON_TOP,1,4755,0.207987
img_004532.png,single_012790.png,single_009204.png,A_ON_TOP,0,6327,0.369287
img_001089.png,single_004526.png,single_012157.png,B_ON_TOP,1,6547,0.489898
img_004545.png,single_007798.png,single_010381.png,A_ON_TOP,0,3816,0.326992
img_002721.png,single_005089.png,single_008802.png,B_ON_TOP,1,3247,0.287676
img_000810.png,single_012362.png,single_010884.png,B_ON_TOP,1,7233,0.251968
img_000834.png,single_009854.png,single_008127.png,A_ON_TOP,0,3631,0.30968
img_001663.png,single_009756.png,single_011096.png,B_ON_TOP,1,9747,0.376841
img_004517.png,single_015208.png,single_004718.png,A_ON_TOP,0,6966,0.374939
img_002334.png,single_015921.png,single_004085.png,B_ON_TOP,1,12119,0.380873
img_001447.png,single_002334.png,single_000614.png,B_ON_TOP,1,5257,0.522253
img_003884.png,single_013016.png,single_007264.png,A_ON_TOP,0,13333,0.386587
img_003208.png,single_001606.png,single_012040.png,A_ON_TOP,0,4392,0.286909
img_000999.png,single_011377.png,single_006472.png,A_ON_TOP,0,12888,0.517466
img_000372.png,single_006659.png,single_006282.png,A_ON_TOP,0,3569,0.1927
img_000016.png,single_004167.png,single_002349.png,A_ON_TOP,0,5003,0.31061
img_001079.png,single_011090.png,single_009036.png,B_ON_TOP,1,4363,0.331409
img_002472.png,single_005490.png,single_009806.png,A_ON_TOP,0,8574,0.503169
img_002773.png,single_005881.png,single_010330.png,B_ON_TOP,1,7302,0.354174
img_004387.png,single_003190.png,single_010123.png,A_ON_TOP,0,5130,0.384011
img_003903.png,single_008399.png,single_013001.png,B_ON_TOP,1,1556,0.229431
img_001348.png,single_002690.png,single_011968.png,B_ON_TOP,1,8132,0.544456
img_000696.png,single_002400.png,single_003704.png,B_ON_TOP,1,6412,0.272168
img_001917.png,single_007619.png,single_004652.png,B_ON_TOP,1,7865,0.443074
img_004099.png,single_004151.png,single_008254.png,A_ON_TOP,0,10754,0.443958
img_002312.png,single_003492.png,single_015147.png,B_ON_TOP,1,17180,0.449374
img_000934.png,single_005403.png,single_010168.png,B_ON_TOP,1,9257,0.350817
img_000631.png,single_012396.png,single_006587.png,B_ON_TOP,1,5671,0.369567
img_003993.png,single_003971.png,single_000810.png,B_ON_TOP,1,5134,0.417738
img_001851.png,single_011249.png,single_003544.png,B_ON_TOP,1,9307,0.434988
img_000156.png,single_004760.png,single_002121.png,A_ON_TOP,0,4955,0.296511
img_002885.png,single_000430.png,single_016289.png,A_ON_TOP,0,12448,0.448173
img_001669.png,single_010496.png,single_014242.png,B_ON_TOP,1,15180,0.474212
img_000493.png,single_016153.png,single_001125.png,B_ON_TOP,1,11482,0.383641
img_004756.png,single_001271.png,single_001409.png,B_ON_TOP,1,7750,0.348315
img_002624.png,single_013277.png,single_008806.png,A_ON_TOP,0,3248,0.209955
img_001195.png,single_015086.png,single_001246.png,A_ON_TOP,0,6019,0.350003
img_001182.png,single_002986.png,single_005564.png,B_ON_TOP,1,4330,0.350522
img_004884.png,single_006633.png,single_007531.png,B_ON_TOP,1,16879,0.470797
img_004708.png,single_005979.png,single_001591.png,A_ON_TOP,0,1843,0.187736
img_003565.png,single_006152.png,single_010942.png,A_ON_TOP,0,3361,0.270285
img_004591.png,single_007286.png,single_001633.png,A_ON_TOP,0,2850,0.239415
img_001760.png,single_002903.png,single_011140.png,A_ON_TOP,0,13866,0.500523
img_003839.png,single_004589.png,single_011476.png,A_ON_TOP,0,5694,0.257857
img_004487.png,single_004592.png,single_006554.png,A_ON_TOP,0,6724,0.315
img_000019.png,single_003693.png,single_012443.png,A_ON_TOP,0,3868,0.195028
img_002150.png,single_007938.png,single_007284.png,A_ON_TOP,0,2508,0.188317
img_002622.png,single_007749.png,single_014720.png,A_ON_TOP,0,7704,0.313809
img_002582.png,single_013259.png,single_011514.png,A_ON_TOP,0,15657,0.522091
img_004683.png,single_006691.png,single_009282.png,A_ON_TOP,0,5712,0.249019
img_001741.png,single_010070.png,single_015286.png,A_ON_TOP,0,9294,0.441206
img_001454.png,single_006747.png,single_002777.png,A_ON_TOP,0,5547,0.241195
img_004242.png,single_003118.png,single_001070.png,B_ON_TOP,1,5003,0.352051
img_004447.png,single_006606.png,single_008358.png,B_ON_TOP,1,5898,0.262227
img_004766.png,single_007484.png,single_011412.png,B_ON_TOP,1,6836,0.388453
img_003769.png,single_006895.png,single_004588.png,A_ON_TOP,0,4221,0.319531
img_001200.png,single_005211.png,single_013531.png,A_ON_TOP,0,9207,0.303351
img_001618.png,single_015922.png,single_008117.png,A_ON_TOP,0,9530,0.434188
img_000239.png,single_007721.png,single_011255.png,B_ON_TOP,1,3974,0.302966
img_002437.png,single_011911.png,single_013138.png,B_ON_TOP,1,6100,0.37143
img_004847.png,single_007975.png,single_015864.png,B_ON_TOP,1,6168,0.232939
img_003122.png,single_003638.png,single_011097.png,B_ON_TOP,1,17942,0.417956
img_001604.png,single_010228.png,single_000397.png,B_ON_TOP,1,5091,0.357589
img_002906.png,single_003053.png,single_008381.png,B_ON_TOP,1,6266,0.454321
img_002107.png,single_004601.png,single_008812.png,B_ON_TOP,1,6859,0.329206
img_004771.png,single_012474.png,single_008397.png,B_ON_TOP,1,6831,0.322141
img_000825.png,single_007374.png,single_001516.png,B_ON_TOP,1,3048,0.202162
img_001244.png,single_014837.png,single_006914.png,A_ON_TOP,0,2071,0.224547
img_000858.png,single_007072.png,single_002202.png,B_ON_TOP,1,4445,0.250847
img_002830.png,single_006395.png,single_011826.png,A_ON_TOP,0,23890,0.474384
img_000794.png,single_003949.png,single_015309.png,B_ON_TOP,1,7147,0.291215
img_001092.png,single_002143.png,single_001493.png,B_ON_TOP,1,5004,0.35399
img_002506.png,single_012286.png,single_006072.png,B_ON_TOP,1,11525,0.502573
img_002802.png,single_015605.png,single_016079.png,B_ON_TOP,1,8790,0.538207
img_001123.png,single_012866.png,single_014884.png,A_ON_TOP,0,2231,0.166071
img_002000.png,single_009227.png,single_014362.png,B_ON_TOP,1,16830,0.484484
img_002076.png,single_008688.png,single_005512.png,A_ON_TOP,0,6547,0.290127
img_001135.png,single_002575.png,single_000673.png,B_ON_TOP,1,3872,0.481652
img_004060.png,single_014513.png,single_008205.png,B_ON_TOP,1,3338,0.25111
img_002975.png,single_004848.png,single_016086.png,A_ON_TOP,0,3710,0.257175
img_003808.png,single_016049.png,single_008767.png,B_ON_TOP,1,1438,0.133321
img_000332.png,single_003206.png,single_005599.png,A_ON_TOP,0,8829,0.437599
img_002139.png,single_009646.png,single_014587.png,A_ON_TOP,0,5308,0.297051
img_000552.png,single_011185.png,single_009560.png,A_ON_TOP,0,9861,0.458545
img_004259.png,single_011590.png,single_009909.png,B_ON_TOP,1,5081,0.392962
img_003586.png,single_015895.png,single_000587.png,B_ON_TOP,1,7268,0.432722
img_004885.png,single_001187.png,single_003319.png,A_ON_TOP,0,1127,0.109951
img_004607.png,single_011993.png,single_005388.png,B_ON_TOP,1,4670,0.430137
img_000295.png,single_003936.png,single_000931.png,B_ON_TOP,1,7255,0.350094
img_002234.png,single_011341.png,single_014345.png,A_ON_TOP,0,4975,0.24771
img_002476.png,single_002264.png,single_010471.png,A_ON_TOP,0,11069,0.434624
img_002857.png,single_006146.png,single_001761.png,A_ON_TOP,0,7411,0.485649
img_001148.png,single_011661.png,single_001330.png,A_ON_TOP,0,4936,0.364334
img_002995.png,single_004552.png,single_012561.png,B_ON_TOP,1,6231,0.332924
img_002901.png,single_004800.png,single_001388.png,A_ON_TOP,0,3437,0.196064
img_001453.png,single_005046.png,single_003789.png,A_ON_TOP,0,3289,0.26742
img_004133.png,single_007562.png,single_006385.png,A_ON_TOP,0,6273,0.321478
img_003943.png,single_006912.png,single_006919.png,A_ON_TOP,0,1768,0.170772
img_003610.png,single_013171.png,single_005677.png,A_ON_TOP,0,9229,0.535356
img_001659.png,single_007664.png,single_006141.png,B_ON_TOP,1,1811,0.167113
img_000089.png,single_011063.png,single_008949.png,A_ON_TOP,0,2178,0.243135
img_002166.png,single_003698.png,single_011368.png,A_ON_TOP,0,4000,0.282845
img_003921.png,single_000392.png,single_007705.png,A_ON_TOP,0,6953,0.31788
img_001350.png,single_015776.png,single_015693.png,B_ON_TOP,1,7891,0.301229
img_000873.png,single_007752.png,single_001818.png,A_ON_TOP,0,13950,0.436319
img_000915.png,single_003205.png,single_002327.png,A_ON_TOP,0,977,0.128875
img_004564.png,single_015105.png,single_002391.png,B_ON_TOP,1,19950,0.484553
img_000774.png,single_004044.png,single_007895.png,A_ON_TOP,0,5300,0.244442
img_001059.png,single_004615.png,single_007038.png,B_ON_TOP,1,5667,0.33666
img_001972.png,single_009525.png,single_002537.png,B_ON_TOP,1,3045,0.24957
img_003214.png,single_008782.png,single_006354.png,A_ON_TOP,0,7217,0.243571
img_001026.png,single_005085.png,single_016229.png,A_ON_TOP,0,6919,0.291978
img_001492.png,single_009295.png,single_001588.png,A_ON_TOP,0,7067,0.435026
img_002273.png,single_001379.png,single_012435.png,A_ON_TOP,0,16910,0.461341
img_004964.png,single_000916.png,single_007526.png,B_ON_TOP,1,4630,0.2438
img_001013.png,single_016170.png,single_000984.png,A_ON_TOP,0,12188,0.396861
img_003678.png,single_003220.png,single_010048.png,A_ON_TOP,0,7110,0.25536
img_002095.png,single_003705.png,single_001664.png,A_ON_TOP,0,6525,0.479921
img_003043.png,single_010209.png,single_001791.png,A_ON_TOP,0,4664,0.276976
img_002639.png,single_015275.png,single_002204.png,B_ON_TOP,1,7430,0.314537
img_000892.png,single_002521.png,single_008433.png,A_ON_TOP,0,2131,0.181315
img_004856.png,single_000890.png,single_012656.png,B_ON_TOP,1,6189,0.302256
img_000855.png,single_013126.png,single_002295.png,B_ON_TOP,1,8860,0.386714
img_000181.png,single_004254.png,single_000556.png,B_ON_TOP,1,8637,0.316548
img_004396.png,single_013472.png,single_001207.png,B_ON_TOP,1,5412,0.357913
img_001406.png,single_008987.png,single_008561.png,B_ON_TOP,1,4590,0.404227
img_001874.png,single_016132.png,single_015361.png,A_ON_TOP,0,10547,0.437254
img_002465.png,single_012330.png,single_004578.png,A_ON_TOP,0,8663,0.535878
img_001967.png,single_013018.png,single_002429.png,A_ON_TOP,0,1816,0.192088
img_002945.png,single_001720.png,single_003021.png,A_ON_TOP,0,7052,0.541545
img_001401.png,single_000917.png,single_012260.png,A_ON_TOP,0,5422,0.326725
img_000394.png,single_009078.png,single_012005.png,B_ON_TOP,1,1685,0.182914
img_001080.png,single_015734.png,single_011343.png,A_ON_TOP,0,4659,0.367661
img_001336.png,single_007855.png,single_007031.png,A_ON_TOP,0,4630,0.25918
img_002263.png,single_013610.png,single_005201.png,B_ON_TOP,1,4551,0.276287
img_001502.png,single_002831.png,single_010301.png,A_ON_TOP,0,7309,0.403211
img_003548.png,single_011398.png,single_016140.png,A_ON_TOP,0,4448,0.258035
img_002426.png,single_012548.png,single_013512.png,B_ON_TOP,1,4032,0.273171
img_001533.png,single_011361.png,single_015626.png,A_ON_TOP,0,1350,0.165726
img_002742.png,single_015171.png,single_005840.png,B_ON_TOP,1,3513,0.268557
img_002094.png,single_002302.png,single_012268.png,A_ON_TOP,0,5440,0.261099
img_003302.png,single_009937.png,single_003407.png,B_ON_TOP,1,14990,0.494703
img_001162.png,single_014582.png,single_012016.png,A_ON_TOP,0,7373,0.443916
img_000701.png,single_010232.png,single_006098.png,B_ON_TOP,1,1337,0.171125
img_000257.png,single_000972.png,single_003589.png,A_ON_TOP,0,5189,0.340799
img_003662.png,single_010963.png,single_008825.png,A_ON_TOP,0,7123,0.234147
img_000433.png,single_001236.png,single_011625.png,A_ON_TOP,0,5143,0.361394
img_002518.png,single_008073.png,single_015845.png,B_ON_TOP,1,2074,0.179801
img_004125.png,single_010609.png,single_005649.png,B_ON_TOP,1,7298,0.321031
img_000673.png,single_011271.png,single_002790.png,B_ON_TOP,1,11901,0.41062
img_002798.png,single_003932.png,single_011447.png,B_ON_TOP,1,3182,0.23837
img_002896.png,single_008299.png,single_009186.png,A_ON_TOP,0,5184,0.250823
img_000712.png,single_007210.png,single_015987.png,B_ON_TOP,1,4438,0.266963
img_004529.png,single_012198.png,single_008063.png,B_ON_TOP,1,3558,0.308025
img_003099.png,single_001036.png,single_005086.png,B_ON_TOP,1,14211,0.37749
img_001078.png,single_009611.png,single_011221.png,A_ON_TOP,0,11261,0.421161
img_003799.png,single_001905.png,single_004021.png,B_ON_TOP,1,3200,0.306191
img_003260.png,single_010940.png,single_009734.png,A_ON_TOP,0,3295,0.280116
img_000693.png,single_014618.png,single_009377.png,B_ON_TOP,1,9091,0.346139
img_001662.png,single_015839.png,single_010972.png,A_ON_TOP,0,4181,0.320432
img_003608.png,single_002672.png,single_015541.png,A_ON_TOP,0,7208,0.302628
img_004191.png,single_003815.png,single_001058.png,B_ON_TOP,1,2937,0.195578
img_004119.png,single_005243.png,single_007773.png,A_ON_TOP,0,15017,0.460672
img_000490.png,single_007626.png,single_008753.png,B_ON_TOP,1,2808,0.290894
img_004268.png,single_001333.png,single_012837.png,B_ON_TOP,1,3012,0.273445
img_003289.png,single_014561.png,single_002020.png,B_ON_TOP,1,1664,0.165375
img_001684.png,single_005647.png,single_000543.png,B_ON_TOP,1,6133,0.304791
img_003885.png,single_014058.png,single_006077.png,A_ON_TOP,0,7415,0.292979
img_004359.png,single_004973.png,single_007309.png,A_ON_TOP,0,13979,0.447844
img_001555.png,single_007790.png,single_013935.png,A_ON_TOP,0,8923,0.322934
img_004179.png,single_015960.png,single_013532.png,A_ON_TOP,0,8087,0.383652
img_002055.png,single_009217.png,single_014846.png,B_ON_TOP,1,1811,0.156296
img_003673.png,single_002304.png,single_005786.png,B_ON_TOP,1,13667,0.493429
img_000363.png,single_003814.png,single_007068.png,B_ON_TOP,1,6426,0.439595
img_004782.png,single_006756.png,single_013790.png,B_ON_TOP,1,13407,0.369746
img_003974.png,single_006954.png,single_004784.png,B_ON_TOP,1,9623,0.425138
img_000402.png,single_003312.png,single_004917.png,A_ON_TOP,0,9181,0.328538
img_003972.png,single_014241.png,single_006193.png,A_ON_TOP,0,4599,0.296614
img_000164.png,single_009522.png,single_009596.png,B_ON_TOP,1,7037,0.48521
img_004406.png,single_011333.png,single_013302.png,A_ON_TOP,0,10782,0.334793
img_001018.png,single_006986.png,single_011356.png,A_ON_TOP,0,6414,0.29387
img_000203.png,single_014625.png,single_015596.png,A_ON_TOP,0,11263,0.387991
img_003170.png,single_013228.png,single_006929.png,B_ON_TOP,1,2865,0.153397
img_000001.png,single_016267.png,single_010047.png,B_ON_TOP,1,10607,0.527161
img_002935.png,single_013850.png,single_013233.png,A_ON_TOP,0,6079,0.285869
img_002921.png,single_002393.png,single_012302.png,B_ON_TOP,1,5613,0.288009
img_004755.png,single_003089.png,single_003798.png,A_ON_TOP,0,5928,0.334707
img_003827.png,single_007660.png,single_011436.png,B_ON_TOP,1,7949,0.279668
img_002709.png,single_014824.png,single_013079.png,A_ON_TOP,0,7405,0.308054
img_003389.png,single_010512.png,single_011204.png,B_ON_TOP,1,3642,0.293072
img_001230.png,single_008494.png,single_000607.png,B_ON_TOP,1,2483,0.157311
img_003830.png,single_005629.png,single_002640.png,B_ON_TOP,1,5042,0.245508
img_003018.png,single_002010.png,single_006803.png,B_ON_TOP,1,1891,0.198114
img_004428.png,single_010858.png,single_004767.png,A_ON_TOP,0,4988,0.280177
img_002044.png,single_013207.png,single_015541.png,B_ON_TOP,1,8646,0.369677
img_000918.png,single_016145.png,single_015049.png,B_ON_TOP,1,10690,0.455184
img_000594.png,single_000562.png,single_005102.png,A_ON_TOP,0,16409,0.40706
img_003169.png,single_004473.png,single_009365.png,A_ON_TOP,0,4213,0.252336
img_004951.png,single_002829.png,single_008915.png,A_ON_TOP,0,6505,0.325022
